Movie Title,Year,Score,Director,Synopsis,Cast,Consensus
The Shawshank Redemption,1994,90%,Frank Darabon," In 1946, a banker named Andy Dufresne (Tim Robbins) is convicted of a double murder, even though he stubbornly proclaims...","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler","The Shawshank Redemption is an uplifting, deeply satisfying prison drama with sensitive direction and fine performances."
I Am Mother,2019,90%,Grant Sputo," I AM MOTHER is a sci-fi thriller about a teenage girl (Clara Rugaard), who is the first of a new...","Hilary Swank, Clara Rugaard, Rose Byrne, Luke Hawker","Suspenseful, well-acted, and intelligent, I Am Mother is an ambitious sci-fi story that largely achieves its impressive aims."
Happy as Lazzaro (Lazzaro felice),2018,90%,Alice Rohrwach, Lazzaro is a naive and optimistic twenty-year-old farmer; Tancredi is instead a young man with a fervid imagination. Between the...,"Adriano Tardiolo, Alba Rohrwacher, Tommaso Ragno, Luca Chikovani",Happy as Lazzaro uses a friendship's ups and downs as a satisfyingly expansive canvas for a picture rich with thematic and cinematic depth.
Blade Runner,1982,90%,Ridley Sco," A blend of science fiction and noir detective fiction, Blade Runner (1982) was a box office and critical bust upon...","Harrison Ford, Rutger Hauer, Sean Young, Daryl Hannah","Misunderstood when it first hit theaters, the influence of Ridley Scott's mysterious, neo-noir Blade Runner has deepened with time. A visually remarkable, achingly human sci-fi masterpiece."
Obvious Child,2014,90%,Gillian Robesp," For aspiring comedian Donna Stern, everyday life as a female twenty-something provides ample material for her incredibly relatable brand of...","Jenny Slate, Gaby Hoffmann, David Cross, Jake Lacy","Tackling a sensitive subject with maturity, honesty, and wit, Obvious Child serves as a deeply promising debut for writer-director Gillian Robespierre."
Clouds of Sils Maria,2015,90%,Olivier Assayas, Maria Enders (Juliette Binoche) is an actress at the peak of her international career who is asked to perform in...,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz , Lars Eidinger","Bolstered by a trio of powerful performances from its talented leads, Clouds of Sils Maria is an absorbing, richly detailed drama with impressive depth and intelligence."
Moon,2009,90%,uncan Jones, An astronaut miner extracting the precious moon gas that promises to reverse the Earth's energy crisis nears the end of...,"Sam Rockwell, Dominique McElligott, Matt Berry, Robin Chalk","Boosted by Sam Rockwell's intense performance, Moon is a compelling work of science-fiction, and a promising debut from director Duncan Jones."
A Serious Man,2009,90%,"Roger Deakins, Joel Coen, Ethan Coen"," ""A Serious Man"" is the story of an ordinary man's search for clarity in a universe where Jefferson Airplane is...","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick","Blending dark humor with profoundly personal themes, the Coen brothers deliver what might be their most mature -- if not their best -- film to date."
Minority Report,2002,90%,Steven Spielberg," Based on a short story by the late Philip K. Dick, this science fiction-thriller reflects the writer's familiar preoccupation with...","Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller."
District 9,2009,90%,Neill Blomkamp, Director Neill Blomkamp teams with producer Peter Jackson for this tale of extraterrestrial refugees stuck in contemporary South Africa. It's...,"Sharlto Copley, David James, Vanessa Haywood, Mandla Gaduka","Technically brilliant and emotionally wrenching, District 9 has action, imagination, and all the elements of a thoroughly entertaining science-fiction classic."
The Witch,2016,90%,Robert Eggers," In this exquisitely made and terrifying new horror film, the age-old concepts of witchcraft, black magic and possession are innovatively...","Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw","As thought-provoking as it is visually compelling, The Witch delivers a deeply unsettling exercise in slow-building horror that suggests great things for debuting writer-director Robert Eggers."
Suburra,2015,91%,Stefano Sollima," The suburra, a rough neighborhood of Rome, is the scene of an ambitious real estate project. But, with the state,...","Greta Scarano, Pierfrancesco Favino, Jean-Hugues Anglade, Elio Germano",No consensus yet.
The Climb,2020,91%,Michael Angelo Covino, Kyle and Mike are best friends who share a close bond -- until Mike sleeps with Kyle's fiancée. The Climb...,"Kyle Marvin, Michael Angelo Covino, Gayle Rankin, Talia Balsam",The Climb uses the complicated bond between two friends to dissect male friendships in engaging -- and frequently funny -- fashion.
The Confirmation,2016,91%,ob Nelson," Walt, a down-on-his luck carpenter, is tasked with entertaining his eight-year-old son Anthony while Anthony's mom and her new husband...","Clive Owen, Maria Bello, Patton Oswalt, Spencer Drever",No consensus yet.
She's Gotta Have It,1986,91%,Spike L," Spike Lee's breakthrough independent feature, shot in fifteen days on a budget of $175,000, ushered in (along with Jim Jarmusch's...","Spike Lee, Tracy Camilla Johns, Tracy Camila Johns, Tommy Redmond Hicks","With She's Gotta Have It, Spike Lee delivered his bracing first shot across Hollywood's bow -- and set the template for the groundbreaking act to follow."
Nobody Speak: Trials of the Free Press,2017,91%,an Knappenberg," When the online tabloid Gawker posted a surreptitiously filmed sex tape of professional wrestler Hulk Hogan, it ignited a high...","Hulk Hogan, Bubba the Love Sponge, Nick Denton, Peter Thiel",Nobody Speaks: The Trials of the Free Press persuasively -- and entertainingly -- outlines the troubling tensions threatening journalism in the internet era.
Hush,2016,92%,Mike Flanagan," In this heart-pounding thriller from acclaimed writer and director Mike Flanagan (Oculus, Before I Wake), silence takes on a terrifying...","Michael Trucco, Kate Siegel, Samantha Sloyan, John Gallagher Jr.",Hush navigates the bloody waters of home invasion thrillers and incisive slashers for a contemporary horror puree.
